direction,model,internal_auc,external_auc,degradation,ext_sensitivity,ext_specificity,ext_brier
Heart -> Cardio,Logistic Regression,0.7606,0.6276,0.133,0.3263,0.8111,0.2788
Heart -> Cardio,Random Forest,0.6994,0.6103,0.0891,0.2901,0.7954,0.3131
Heart -> Cardio,XGBoost,0.7411,0.6133,0.1278,0.2587,0.8152,0.345
Heart -> Cardio,LightGBM,0.7208,0.6019,0.1189,0.2544,0.8294,0.3638
Heart -> Cardio,CatBoost,0.7481,0.6222,0.1259,0.2387,0.8588,0.3186
Heart -> Cardio,TabPFN,0.7627,0.6342,0.1285,0.2777,0.8443,0.2916
Cardio -> Heart,Logistic Regression,0.7884,0.5881,0.2003,0.7165,0.361,0.2792
Cardio -> Heart,Random Forest,0.719,0.5117,0.2073,0.6535,0.3659,0.3564
Cardio -> Heart,XGBoost,0.7961,0.5883,0.2078,0.8169,0.3171,0.2767
Cardio -> Heart,LightGBM,0.7948,0.5449,0.2499,0.6988,0.3146,0.301
Cardio -> Heart,CatBoost,0.798,0.5251,0.2729,0.7264,0.2829,0.303
Cardio -> Heart,TabPFN,0.7957,0.5803,0.2154,0.7362,0.3,0.2965
