model,n_train,seed,macro_f1
TF-IDF + LogReg,80,0,0.747229200538024
DistilBERT (converged),80,0,0.6865256203491498
TF-IDF + LogReg,80,1,0.6997314805364341
DistilBERT (converged),80,1,0.7186428359222478
TF-IDF + LogReg,80,2,0.6755096085688191
DistilBERT (converged),80,2,0.6638508808013452
TF-IDF + LogReg,201,0,0.8347388314300078
DistilBERT (converged),201,0,0.8605484685593044
TF-IDF + LogReg,201,1,0.872847386817975
DistilBERT (converged),201,1,0.8529416661769603
TF-IDF + LogReg,201,2,0.8644069638651682
DistilBERT (converged),201,2,0.8554817119155356
TF-IDF + LogReg,403,0,0.9457571152617593
DistilBERT (converged),403,0,0.9440435789700494
TF-IDF + LogReg,403,1,0.9226126212968319
DistilBERT (converged),403,1,0.9217987819284259
TF-IDF + LogReg,403,2,0.9289133467152043
DistilBERT (converged),403,2,0.9335187280040221
TF-IDF + LogReg,807,0,0.9516429648782591
DistilBERT (converged),807,0,0.9624943887811535
TF-IDF + LogReg,807,1,0.9516429648782591
DistilBERT (converged),807,1,0.9673623081711318
TF-IDF + LogReg,807,2,0.9516429648782591
DistilBERT (converged),807,2,0.9607802736479206
